orden,seccion,especifico,ico,img1,img2,link1,link2,headline1,headline2,content1,content2,content3,content4,content5,pdf,png_del_pdf
3,Industrial,,,static/img/fv/photovoltaic-system-2698175_1920.jpg,static/img/fv/pantallazos/industrial_portada.png,https://formulario-yzohicfcma-ew.a.run.app/industrial,https://autoconsumes.github.io/AUDITORIA/Factura_Luz/,Nave Industrial,Autoconsumo,hoooolz  zfz ollz,,,,,static/pdf/informe.pdf,static/img/fv/pantallazos/curvas_kw.png
3,Comunidades,,,static/img/fv/solar-panels-894291_1920.jpg,static/img/fv/pantallazos/comunidad_portada.png,https://formulario-yzohicfcma-ew.a.run.app/comunidad,https://autoconsumes.github.io/AUDITORIA/Factura_Luz/,Comunidad Energetica,Autoconsumo,hoooolz  zfz ollz,,,,,static/pdf/informe.pdf,static/img/fv/pantallazos/curvas_kw.png
4,Huertos Solares,,,static/img/fv/energy-g73e105d57_1280.jpg,static/img/fv/pantallazos/huerto_portada.png,https://formulario-yzohicfcma-ew.a.run.app/huerto,https://autoconsumes.github.io/AUDITORIA/Factura_Luz/,Huerto Solar,Pool,contenfasdfasdido1,,,,,static/pdf/informe.pdf,static/img/fv/pantallazos/curvas_kw.png
5,Residencial,,,static/img/fv/solar-panels-g5050b05c9_1920.jpg,static/img/fv/pantallazos/residencial_portada.png,https://formulario-yzohicfcma-ew.a.run.app/contacto,https://autoconsumes.github.io/AUDITORIA/Factura_Luz/,Residencial,Autoconsumo,,,,,,static/pdf/informe.pdf,static/img/fv/pantallazos/curvas_kw.png
6,Industrial,,,static/img/bat/data-center-2476790_1920.jpg,,,,,,,,,,,,
7,Residencial,,,static/img/bat/battery-1821_640.jpg,,,,,,,,,,,,
8,Comunidades,,,static/img/bat/charging-cable-5417522_1920.jpg,,,,,,,,,,,,
